,gene,Level4,source,Phenotypes
9918,TGM6,Ataxia and cerebellar anomalies - narrow panel,gene_panel_477,"Spinocerebellar ataxia 35, OMIM:613908"
9919,TINF2,Ataxia and cerebellar anomalies - narrow panel,gene_panel_477,"Dyskeratosis congenita, autosomal dominant 3  613990"
9920,TMEM240,Ataxia and cerebellar anomalies - narrow panel,gene_panel_477,"Spinocerebellar ataxia 21, 607454"
9921,TMEM5,Ataxia and cerebellar anomalies - narrow panel,gene_panel_477,"Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type"
9922,TOE1,Ataxia and cerebellar anomalies - narrow panel,gene_panel_477,"Pontocerebellar hypoplasia, type 7  614969"
9923,TPP1,Ataxia and cerebellar anomalies - narrow panel,gene_panel_477,Autosomal recessive spinocerebellar ataxia 7 (#607998);Neuronal ceroid lipfuscinosis 7 (204500)
9924,TSEN2,Ataxia and cerebellar anomalies - narrow panel,gene_panel_477,"Pontocerebellar Hypoplasia;Pontocerebellar hypoplasia type 2B,612389;Pontocerebellar Hypoplasia type 2B;Pontocerebellar hypoplasia 2B (612389)"
9925,TSEN34,Ataxia and cerebellar anomalies - narrow panel,gene_panel_477,"Pontocerebellar hypoplasia type 2C,612390;Pontocerebellar Hypoplasia type 2C;Pontocerebellar hypoplasia 2C (612390);Pontocerebellar Hypoplasia"
9926,TSEN54,Ataxia and cerebellar anomalies - narrow panel,gene_panel_477,"?Pontocerebellar hypoplasia type 5, OMIM:610204;Pontocerebellar hypoplasia type 2A, OMIM:277470;Pontocerebellar hypoplasia type 4, OMIM:225753"
9927,TTBK2,Ataxia and cerebellar anomalies - narrow panel,gene_panel_477,Spinocerebellar ataxia 11
9928,TTC19,Ataxia and cerebellar anomalies - narrow panel,gene_panel_477,"Mitochondrial complex III deficiency, nuclear type 2, 615157"
9929,TTPA,Ataxia and cerebellar anomalies - narrow panel,gene_panel_477,Ataxia with isolated vitamin E deficiency;Ataxia with Vitamin E Deficiency
9930,TUBA1A,Ataxia and cerebellar anomalies - narrow panel,gene_panel_477,"Lissencephaly 3  6,1603"
9931,TUBB2B,Ataxia and cerebellar anomalies - narrow panel,gene_panel_477,"complex cortical dysplasia with other brain malformations-7 , 610031"
9932,TUBB3,Ataxia and cerebellar anomalies - narrow panel,gene_panel_477,"Cortical dysplasia, complex, with other brain malformations 1  614039"
9933,TUBB4A,Ataxia and cerebellar anomalies - narrow panel,gene_panel_477,"Leukodystrophy, hypomyelinating, 6, 612438;Dystonia 4, torsion, autosomal dominant, 128101"
9934,TWNK,Ataxia and cerebellar anomalies - narrow panel,gene_panel_477,"Spinocerebellar Ataxia, Recessive;Ataxia Neuropathy Spectrum Disorders, Dominant;Progressive external ophthalmoplegia with mitochondrial DNA deletions, autosomal dominant 3, 609286;Perrault syndrome 5, 616138;Mitochondrial DNA depletion syndrome 7 (hepatocerebral type), 271245"
9935,VLDLR,Ataxia and cerebellar anomalies - narrow panel,gene_panel_477,"Cerebellar hypoplasia and mental retardation with or without quadrupedal locomotion 1, 224050;Cerebellar Hypoplasia"
9936,VPS13D,Ataxia and cerebellar anomalies - narrow panel,gene_panel_477,"Spinocerebellar ataxia, autosomal recessive 4, 607317"
9937,VPS41,Ataxia and cerebellar anomalies - narrow panel,gene_panel_477,Generalised Neurodevelopmental disorder;Ataxia;Dystonia
9938,VRK1,Ataxia and cerebellar anomalies - narrow panel,gene_panel_477,"Pontocerebellar hypoplasia type 1A, OMIM:607596"
9939,WDR73,Ataxia and cerebellar anomalies - narrow panel,gene_panel_477,"Galloway Mowat syndrome, when patients are ambulant ataxia is a recognised feature;Galloway-Mowat syndrome 1, 251300"
9940,WDR81,Ataxia and cerebellar anomalies - narrow panel,gene_panel_477,"Cerebellar ataxia, mental retardation, and dysequilibrium syndrome 2,  610185;Cerebellar ataxia, mental retardation, and dysequilibrium syndrome 2"
9941,WFS1,Ataxia and cerebellar anomalies - narrow panel,gene_panel_477,"Wolfram syndrome 1, OMIM:222300"
9942,WWOX,Ataxia and cerebellar anomalies - narrow panel,gene_panel_477,"Autosomal recessive spinocerebellar ataxia 12, 614322"
16668,AAAS,Hereditary ataxia and cerebellar anomalies - childhood onset,gene_panel_488,"Achalasia-addisonianism-alacrimia syndrome, OMIM:231550;Triple-A syndrome, MONDO:0009279"
16669,ABCB7,Hereditary ataxia and cerebellar anomalies - childhood onset,gene_panel_488,"Anemia, sideroblastic, with ataxia, OMIM:301310"
16670,ABHD12,Hereditary ataxia and cerebellar anomalies - childhood onset,gene_panel_488,"Polyneuropathy, Hearing Loss, Ataxia, Retinitis Pigmentosa and Cataract (PHARC);Polyneuropathy, hearing loss, ataxia, retinitis pigmentosa, and cataract"
16671,ADGRG1,Hereditary ataxia and cerebellar anomalies - childhood onset,gene_panel_488,"Polymicrogyria, bilateral frontoparietal  606854"
16672,AFG3L2,Hereditary ataxia and cerebellar anomalies - childhood onset,gene_panel_488,"Spinocerebellar ataxia 28;Spinocerebellar Ataxia, Dominant;Ataxia, spastic, 5, autosomal recessive"
16673,AHI1,Hereditary ataxia and cerebellar anomalies - childhood onset,gene_panel_488,Joubert syndrome 3;Joubert syndrome;Joubert syndrome-3.
16674,ALG1,Hereditary ataxia and cerebellar anomalies - childhood onset,gene_panel_488,"Congenital disorder of glycosylation, type Ik 608540;Mannosyltransferase 1 deficiency (Disorders of protein N-glycosylation)"
16675,ALG11,Hereditary ataxia and cerebellar anomalies - childhood onset,gene_panel_488,"Congenital disorder of glycosylation, type Ip 613661; ALG11-CDG (Disorders of protein N-glycosylation)"
16676,ALG12,Hereditary ataxia and cerebellar anomalies - childhood onset,gene_panel_488,"Congenital disorder of glycosylation, type Ig 607143; Mannosyltransferase 8 deficiency (Disorders of protein N-glycosylation)"
16677,ALG14,Hereditary ataxia and cerebellar anomalies - childhood onset,gene_panel_488,"?Myasthenic syndrome, congenital, 15, without tubular aggregates 616227; Congenital myasthenic sydrome (Disorders of protein N-glycosylation)"
16678,ALG3,Hereditary ataxia and cerebellar anomalies - childhood onset,gene_panel_488,"Congenital disorder of glycosylation, type Id 601110;Mannosyltransferase 6 deficiency ALG3-CDG (Disorders of protein N-glycosylation)"
16679,ALG6,Hereditary ataxia and cerebellar anomalies - childhood onset,gene_panel_488,"Congenital disorder of glycosylation, type Ic 603147; Glucosyltransferase 1 deficiency (Disorders of protein N-glycosylation)"
16680,ALG8,Hereditary ataxia and cerebellar anomalies - childhood onset,gene_panel_488,"Congenital disorder of glycosylation, type Ih 608104; Glucosyltransferase 2 deficiency (Disorders of protein N-glycosylation)"
16681,ALG9,Hereditary ataxia and cerebellar anomalies - childhood onset,gene_panel_488,"ALG9-CDG (Disorders of protein N-glycosylation);Congenital disorder of glycosylation, type Il 608776;Mannosyltransferase 7-9 deficiency (Disorders of protein N-glycosylation)"
16682,AMPD2,Hereditary ataxia and cerebellar anomalies - childhood onset,gene_panel_488,"Spastic paraplegia homozygous frameshift reported in single family (Novarino et al, 2014).;pontocerebellar hypoplasia type 9, 615809;Pontocerebellar hypoplasia 9 (#615809)"
16683,ANO10,Hereditary ataxia and cerebellar anomalies - childhood onset,gene_panel_488,"Spinocerebellar ataxia, autosomal recessive 10,"
16684,AP1S2,Hereditary ataxia and cerebellar anomalies - childhood onset,gene_panel_488,"Pettigrew syndrome, OMIM:304340"
16685,APTX,Hereditary ataxia and cerebellar anomalies - childhood onset,gene_panel_488,"Ataxia with Oculomotor Apraxia;Ataxia, early-onset, with oculomotor apraxia and hypoalbuminemia"
16686,ARL13B,Hereditary ataxia and cerebellar anomalies - childhood onset,gene_panel_488,Joubert syndrome 8
16687,ARMC9,Hereditary ataxia and cerebellar anomalies - childhood onset,gene_panel_488,"Joubert syndrome 30, 617622"
16688,ARSA,Hereditary ataxia and cerebellar anomalies - childhood onset,gene_panel_488,Metachromatic leukodystrophy (#250100)
16689,ATCAY,Hereditary ataxia and cerebellar anomalies - childhood onset,gene_panel_488,"Ataxia, cerebellar, Cayman type OMIM:601238;Cayman type cerebellar ataxia MONDO:0011025"
16690,ATM,Hereditary ataxia and cerebellar anomalies - childhood onset,gene_panel_488,"Ataxia-telangiectasia, OMIM:208900"
16691,ATP1A3,Hereditary ataxia and cerebellar anomalies - childhood onset,gene_panel_488,"Cerebellar ataxia, areflexia, pes cavus, optic atrophy and sensorineural hearing loss (CAPOS, #601338);Alternating hemiplegia of childhood 2 (#614820) and Dystonia 12 (#128235)"
16692,ATP6AP1,Hereditary ataxia and cerebellar anomalies - childhood onset,gene_panel_488,"Immunodeficiency 47	300972"
16693,ATP6V0A2,Hereditary ataxia and cerebellar anomalies - childhood onset,gene_panel_488,"Cutis laxa, autosomal recessive, type IIA 21920; Wrinkly skin syndrome 278250; V0 subunit A2 of vesicular H(+)-ATPase deficiency (Disorders of multiple glycosylation and other glycosylation pathways, V-ATPase deficiencies)"
16694,B3GALNT2,Hereditary ataxia and cerebellar anomalies - childhood onset,gene_panel_488,Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies typeA 11;congenital muscular dystrophies
16695,B3GALNT2,Hereditary ataxia and cerebellar anomalies - childhood onset,gene_panel_488,"Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies, type A, 11	615181"
16696,B3GALT6,Hereditary ataxia and cerebellar anomalies - childhood onset,gene_panel_488,"Ehlers-Danlos syndrome, progeroid type, 2	615349;Spondyloepimetaphyseal dysplasia with joint laxity, type 1, with or without fractures	271640"
16697,B3GAT3,Hereditary ataxia and cerebellar anomalies - childhood onset,gene_panel_488,"Multiple joint dislocations, short stature, craniofacial dysmorphism, with or without congenital heart defects 245600; B3GAT3-CDG (Disorders of protein O-glycosylation,  O-mannosylglycan synthesis deficiencies)"
16698,B3GLCT,Hereditary ataxia and cerebellar anomalies - childhood onset,gene_panel_488,"Peters-plus syndrome 261540; O-fucose-specific beta-1,3-N-glucosyltransferase deficiency (Disorders of protein O-glycosylation,  O-mannosylglycan synthesis deficiencies)"
16699,B4GALT1,Hereditary ataxia and cerebellar anomalies - childhood onset,gene_panel_488,"Congenital disorder of glycosylation, type IId, OMIM:607091"
16700,B4GALT7,Hereditary ataxia and cerebellar anomalies - childhood onset,gene_panel_488,"Ehlers-Danlos syndrome with short stature and limb anomalies 130070; B4GALT7-CDG (Disorders of protein O-glycosylation,  O-mannosylglycan synthesis deficiencies, Disorders of protein O-glycosylation, O-xylosylglycan synthesis deficiencies)"
16701,B9D2,Hereditary ataxia and cerebellar anomalies - childhood onset,gene_panel_488,"Joubert syndrome 34, OMIM:614175;Meckel syndrome 10, OMIM:614175;Meckel syndrome, type 10, MONDO:0013609"
16702,C2CD3,Hereditary ataxia and cerebellar anomalies - childhood onset,gene_panel_488,"short-rib polydactyly syndromes (SRPS;MIM208500);MIM 613091, 263520), Jeune asphyxiating thoracic dystrophy (JATD;?Orofaciodigital syndrome XIV, 615948;Orofaciodigital syndromes (OFDS, MIM 311200)"
16703,C5orf42,Hereditary ataxia and cerebellar anomalies - childhood onset,gene_panel_488,Joubert syndrome;Oral-facial-digital syndrome type VI;Joubert syndrome 17
16704,CA8,Hereditary ataxia and cerebellar anomalies - childhood onset,gene_panel_488,Cerebellar ataxia and mental retardation with or without quadrupedal locomotion 3  613227;Cerebellar ataxia and mental retardation with or without quadrupedal locomotion 3
16705,CACNA1A,Hereditary ataxia and cerebellar anomalies - childhood onset,gene_panel_488,"Episodic ataxia, type 2, OMIM:108500;Migraine, familial hemiplegic, 1, with progressive cerebellar ataxia, OMIM:141500"
16706,CACNA1G,Hereditary ataxia and cerebellar anomalies - childhood onset,gene_panel_488,Spinocerebellar ataxia 42 616795
16707,CAMTA1,Hereditary ataxia and cerebellar anomalies - childhood onset,gene_panel_488,"Cerebellarataxia, nonprogressive, with mental retardation, 614756"
16708,CASK,Hereditary ataxia and cerebellar anomalies - childhood onset,gene_panel_488,"FG syndrome 4, 300422;Mental retardation, with or without nystagmus;Mental retardation and microcephaly with pontine and cerebellar hypoplasia;Pontocerebellar Hypoplasia;FG syndrome 4;Mental retardation and microcephaly with pontine and cerebellar hypoplasia, 300749;Mental retardation, with or without nystagmus, 300422"
16709,CC2D2A,Hereditary ataxia and cerebellar anomalies - childhood onset,gene_panel_488,Joubert syndrome 9;COACH syndrome;Joubert syndrome with oculorenal defect;Meckel syndrome 6;Meckel syndrome
16710,CCDC115,Hereditary ataxia and cerebellar anomalies - childhood onset,gene_panel_488,"Congenital disorder of glycosylation, type IIo 616828"
16711,CENPF,Hereditary ataxia and cerebellar anomalies - childhood onset,gene_panel_488,"Stromme syndrome, 243605;Lethal fetal brain malformation-duodenal atresia-bilateral renal hypoplasia syndrome"
16712,CEP104,Hereditary ataxia and cerebellar anomalies - childhood onset,gene_panel_488,"Joubert syndrome 25, 616781;Joubert syndrome 25"
16713,CEP290,Hereditary ataxia and cerebellar anomalies - childhood onset,gene_panel_488,610189;Meckel syndrome 4;Senior-Loken syndrome;611755;Joubert syndrome 5;Joubert syndrome with oculorenal defect;610188;Senior-Loken syndrome 6;611134;Meckel syndrome
16714,CEP41,Hereditary ataxia and cerebellar anomalies - childhood onset,gene_panel_488,Joubert syndrome 15
16715,CHMP1A,Hereditary ataxia and cerebellar anomalies - childhood onset,gene_panel_488,"Pontocerebellar hypoplasia, type 8, 614961"
16716,CHST14,Hereditary ataxia and cerebellar anomalies - childhood onset,gene_panel_488,"Ehlers-Danlos syndrome, musculocontractural type 1 601776; CHST14-CDG (Disorders of protein O-glycosylation,  O-mannosylglycan synthesis deficiencies)"
16717,CHST3,Hereditary ataxia and cerebellar anomalies - childhood onset,gene_panel_488,"Spondyloepiphyseal dysplasia with congenital joint dislocations 143095; CHST3-CDG (Disorders of protein O-glycosylation,  O-mannosylglycan synthesis deficiencies)"
16718,CHST6,Hereditary ataxia and cerebellar anomalies - childhood onset,gene_panel_488,"Macular corneal dystrophy 217800; CHST6-CDG (Disorders of protein O-glycosylation,  O-mannosylglycan synthesis deficiencies)"
16719,CHSY1,Hereditary ataxia and cerebellar anomalies - childhood onset,gene_panel_488,"Temtamy preaxial brachydactyly syndrome 605282; CHSY1-CDG (Disorders of protein O-glycosylation,  O-mannosylglycan synthesis deficiencies)"
16720,CLCN2,Hereditary ataxia and cerebellar anomalies - childhood onset,gene_panel_488,"Leukoencephalopathy with ataxia, OMIM:615651"
16721,CLN6,Hereditary ataxia and cerebellar anomalies - childhood onset,gene_panel_488,"Ceroid lipofuscinosis, neuronal, 6, 601780;Ceroid lipofuscinosis, neuronal, Kufs type, adult onset, 204300"
16722,COG1,Hereditary ataxia and cerebellar anomalies - childhood onset,gene_panel_488,"Congenital disorder of glycosylation, type IIg 611209; Component of COG complex 1 deficiency (Disorders of multiple glycosylation and other glycosylation pathways, conserved oligomeric Golgi (COG) complex deficiency)"
16723,COG4,Hereditary ataxia and cerebellar anomalies - childhood onset,gene_panel_488,"Congenital disorder of glycosylation, type IIj 613489; Component of COG complex 4 deficiency (Disorders of multiple glycosylation and other glycosylation pathways, conserved oligomeric Golgi (COG) complex deficiency)"
16724,COG5,Hereditary ataxia and cerebellar anomalies - childhood onset,gene_panel_488,"Congenital disorder of glycosylation, type IIi 613612; Component of COG complex 5 deficiency (Disorders of multiple glycosylation and other glycosylation pathways, conserved oligomeric Golgi (COG) complex deficiency)"
16725,COG6,Hereditary ataxia and cerebellar anomalies - childhood onset,gene_panel_488,"Congenital disorder of glycosylation, type IIl 614576; Shaheen syndrome 615328; Component of COG complex 6 deficiency (Disorders of multiple glycosylation and other glycosylation pathways, conserved oligomeric Golgi (COG) complex deficiency)"
16726,COG7,Hereditary ataxia and cerebellar anomalies - childhood onset,gene_panel_488,"Congenital disorder of glycosylation, type IIe 608779; Component of COG complex 7 deficiency (Disorders of multiple glycosylation and other glycosylation pathways, conserved oligomeric Golgi (COG) complex deficiency)"
16727,COG8,Hereditary ataxia and cerebellar anomalies - childhood onset,gene_panel_488,"Congenital disorder of glycosylation, type IIh 611182; Component of COG complex 8 deficiency (Disorders of multiple glycosylation and other glycosylation pathways, conserved oligomeric Golgi (COG) complex deficiency)"
16728,COQ8A,Hereditary ataxia and cerebellar anomalies - childhood onset,gene_panel_488,"Coenzyme Q10 deficiency, primary 4, 612016;Spinocerebellar Ataxia Type"
16729,COX20,Hereditary ataxia and cerebellar anomalies - childhood onset,gene_panel_488,"Mitochondrial complex IV deficiency, 220110"
16730,CP,Hereditary ataxia and cerebellar anomalies - childhood onset,gene_panel_488,"Cerebellar ataxia, 604290;Hemosiderosis, systemic, due to aceruloplasminemia, 604290"
16731,CRB2,Hereditary ataxia and cerebellar anomalies - childhood onset,gene_panel_488,Ventriculomegaly with cystic kidney disease 219730
16732,CSGALNACT1,Hereditary ataxia and cerebellar anomalies - childhood onset,gene_panel_488,"Congenital disorder of glycosylation;Skeletal dysplasia, mild, with joint laxity and advanced bone age OMIM:618870;skeletal dysplasia, mild, with joint laxity and advanced bone age MONDO:0030029"
16733,CSPP1,Hereditary ataxia and cerebellar anomalies - childhood onset,gene_panel_488,Joubert syndrome;Meckel syndrome;Joubert syndrome 21;Meckel-Gruber syndrome
16734,CTBP1,Hereditary ataxia and cerebellar anomalies - childhood onset,gene_panel_488,"Hypotonia, ataxia, developmental delay, and tooth enamel defect syndrome, 617915"
16735,CWF19L1,Hereditary ataxia and cerebellar anomalies - childhood onset,gene_panel_488,"Spinocerebellar ataxia, autosomal recessive 17,  616127"
16736,CYP27A1,Hereditary ataxia and cerebellar anomalies - childhood onset,gene_panel_488,"Cerebrotendinous xanthomatosis, 213700"
16737,CYP2U1,Hereditary ataxia and cerebellar anomalies - childhood onset,gene_panel_488,"Spastic paraplegia 56, autosomal recessive OMIM:615030;hereditary spastic paraplegia 56 MONDO:0014015"
16738,DARS2,Hereditary ataxia and cerebellar anomalies - childhood onset,gene_panel_488,"Leukoencephalopathy with brain stem and spinal cord involvement and lactate elevation, 611105"
16739,DDHD2,Hereditary ataxia and cerebellar anomalies - childhood onset,gene_panel_488,"Autosomal recessive paraplegia 54 (#615033). Complex form of disease   ataxia reported amongst the phenotypic features in Citterio et al. (2014), Journal of Neurology, 261, pp.373-381 and Doi et al. (2014), Scientific Reports, 4, 7132."
16740,DDX59,Hereditary ataxia and cerebellar anomalies - childhood onset,gene_panel_488,"Orofaciodigital syndrome V, 174300"
16741,DHCR7,Hereditary ataxia and cerebellar anomalies - childhood onset,gene_panel_488,Smith-Lemli-Opitz syndrome   270400
16742,DKC1,Hereditary ataxia and cerebellar anomalies - childhood onset,gene_panel_488,"Dyskeratosis congenita, X-linked OMIM:305000;dyskeratosis congenita, X-linked MONDO:0010584"
16743,DNAJC19,Hereditary ataxia and cerebellar anomalies - childhood onset,gene_panel_488,"3-methylglutaconic aciduria, type V"
16744,DNAJC5,Hereditary ataxia and cerebellar anomalies - childhood onset,gene_panel_488,"Ceroid lipofuscinosis, neuronal, 4, Parry type"
16745,DNMT1,Hereditary ataxia and cerebellar anomalies - childhood onset,gene_panel_488,"Cerebellar ataxia, deafness, and narcolepsy, autosomal dominant,"
16746,DOLK,Hereditary ataxia and cerebellar anomalies - childhood onset,gene_panel_488,"Congenital disorder of glycosylation, type Im 610768; Dolichol kinase deficiency (Disorders of multiple glycosylation and other glycosylation pathways)"
16747,DPAGT1,Hereditary ataxia and cerebellar anomalies - childhood onset,gene_panel_488,"Congenital disorder of glycosylation, type Ij 608093; Myasthenic syndrome, congenital, 13, with tubular aggregates 614750; UDP-GlcNAc:Dol-P-GlcNac-P transferase deficiency (Disorders of protein N-glycosylation)"
16748,DPM1,Hereditary ataxia and cerebellar anomalies - childhood onset,gene_panel_488,"Congenital disorder of glycosylation, type Ie, OMIM:608799;GDP-Man:Dol-P mannosyltransferase deficiency (Disorders of multiple glycosylation and other glycosylation pathways)"
16749,DPM3,Hereditary ataxia and cerebellar anomalies - childhood onset,gene_panel_488,"Muscular dystrophy-dystroglycanopathy (limb-girdle), type C, 15 612937"
16750,EIF2B1,Hereditary ataxia and cerebellar anomalies - childhood onset,gene_panel_488,Childhood ataxia with central nervous system hypomyelination/vanishing white matter disease;Childhood Ataxia with Central Nervous System Hypomyelination/Vanishing White Matter
16751,EIF2B2,Hereditary ataxia and cerebellar anomalies - childhood onset,gene_panel_488,"Childhood ataxia with central nervous system hypomyelination/vanishing white matter disease;Leukoencephalopathy with vanishing white matter, 603896"
16752,EIF2B3,Hereditary ataxia and cerebellar anomalies - childhood onset,gene_panel_488,Childhood ataxia with central nervous system hypomyelination/vanishing white matter disease
16753,EIF2B4,Hereditary ataxia and cerebellar anomalies - childhood onset,gene_panel_488,Childhood ataxia with central nervous system hypomyelination/vanishing white matter disease
16754,EIF2B5,Hereditary ataxia and cerebellar anomalies - childhood onset,gene_panel_488,Childhood ataxia with central nervous system hypomyelination/vanishing white matter disease
16755,ELOVL4,Hereditary ataxia and cerebellar anomalies - childhood onset,gene_panel_488,Spinocerebellar ataxia 34
16756,EPM2A,Hereditary ataxia and cerebellar anomalies - childhood onset,gene_panel_488,"Epilepsy, progressive myoclonic 2A (Lafora)"
16757,EVC,Hereditary ataxia and cerebellar anomalies - childhood onset,gene_panel_488,"Ellis-van Creveld syndrome, OMIM:225500"
16758,EVC2,Hereditary ataxia and cerebellar anomalies - childhood onset,gene_panel_488,"Ellis-van Creveld syndrome, 225500;Weyers acrofacial dysostosis, 193530"
16759,EXOSC3,Hereditary ataxia and cerebellar anomalies - childhood onset,gene_panel_488,"Pontocerebellar hypoplasia, type 1B, OMIM:614678"
16760,EXT1,Hereditary ataxia and cerebellar anomalies - childhood onset,gene_panel_488,"Exostoses, multiple, type 1 133700;Multiple exostoses type I (Disorders of protein O-glycosylation, O-xylosylglycan synthesis deficiencies)"
16761,EXT2,Hereditary ataxia and cerebellar anomalies - childhood onset,gene_panel_488,"?Seizures, scoliosis, and macrocephaly syndrome 616682; Exostoses, multiple, type 2 133701; Multiple exostoses type II (Disorders of protein O-glycosylation, O-xylosylglycan synthesis deficiencies)"
16762,FGF14,Hereditary ataxia and cerebellar anomalies - childhood onset,gene_panel_488,Spinocerebellar ataxia 27
16763,FKRP,Hereditary ataxia and cerebellar anomalies - childhood onset,gene_panel_488,"Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 5 613153;Muscular dystrophy-dystroglycanopathy (congenital with or without mental retardation), type B, 5 606612;Muscular dystrophy-dystroglycanopathy (limb-girdle), type C, 5 607155"
16764,FKRP,Hereditary ataxia and cerebellar anomalies - childhood onset,gene_panel_488,"Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type"
16765,FKTN,Hereditary ataxia and cerebellar anomalies - childhood onset,gene_panel_488,"Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 4 253800;Muscular dystrophy-dystroglycanopathy (congenital without mental retardation), type B, 4 613152;Muscular dystrophy-dystroglycanopathy (limb-girdle), type C, 4 611588;Fukutin deficiency (Disorders of protein O-glycosylation,  O-mannosylglycan synthesis deficiencies)"
16766,FKTN,Hereditary ataxia and cerebellar anomalies - childhood onset,gene_panel_488,"Fukuyama Congenital Muscular Dystrophy;Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type;Fukuyama congenital muscular dystrophy"
16767,FLVCR1,Hereditary ataxia and cerebellar anomalies - childhood onset,gene_panel_488,"Posterior Column Ataxia with Retinitis Pigmentosa;Ataxia, posterior column, with retinitis pigmentosa,"
16768,FMR1,Hereditary ataxia and cerebellar anomalies - childhood onset,gene_panel_488,"Fragile X tremor/ataxia syndrome, OMIM:300623"
16769,FOLR1,Hereditary ataxia and cerebellar anomalies - childhood onset,gene_panel_488,"Neurodegeneration due to cerebral folate transport deficiency, 613068"
16770,FUT8,Hereditary ataxia and cerebellar anomalies - childhood onset,gene_panel_488,"Congenital disorder of glycosylation with defective fucosylation, 618005"
16771,FXN,Hereditary ataxia and cerebellar anomalies - childhood onset,gene_panel_488,Friedreich ataxia OMIM:229300;Friedreich ataxia with retained reflexes OMIM:229300;Friedreich ataxia 1 MONDO:0100340
16772,GALNT2,Hereditary ataxia and cerebellar anomalies - childhood onset,gene_panel_488,"Congenital disorder of glycosylation, type IIt 618885"
16773,GALNT3,Hereditary ataxia and cerebellar anomalies - childhood onset,gene_panel_488,"Tumoral calcinosis, hyperphosphatemic, familial 211900;Polypeptide N-acetylgalactosaminyl transferase deficiency (Disorders of protein O-glycosylation, O-N-acetylgalactosaminylglycan synthesis deficiencies)"
16774,GBA2,Hereditary ataxia and cerebellar anomalies - childhood onset,gene_panel_488,"Spastic paraplegia 46, autosomal recessive, 614409"
16775,GFAP,Hereditary ataxia and cerebellar anomalies - childhood onset,gene_panel_488,Autosomal Dominant Ataxia;Alexander disease
16776,GFPT1,Hereditary ataxia and cerebellar anomalies - childhood onset,gene_panel_488,"Myasthenia, congenital, 12, with tubular aggregates(Disorders of protein N-glycosylation)  610542"
16777,GJC2,Hereditary ataxia and cerebellar anomalies - childhood onset,gene_panel_488,"Leukodystrophy, hypomyelinating, 2;Autosomal Recessive Ataxia"
16778,GLI3,Hereditary ataxia and cerebellar anomalies - childhood onset,gene_panel_488,Joubert Syndrome and Senior-Loken Syndrome 24 gene panel
16779,GMPPA,Hereditary ataxia and cerebellar anomalies - childhood onset,gene_panel_488,"Alacrima, achalasia, and mental retardation syndrome (MIM# 615510)"
16780,GMPPB,Hereditary ataxia and cerebellar anomalies - childhood onset,gene_panel_488,"Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 14 OMIM:615350;muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A14 MONDO:0014140;Muscular dystrophy-dystroglycanopathy (congenital with mental retardation), type B, 14	 OMIM:615351;muscular dystrophy-dystroglycanopathy (congenital with intellectual disability), type B14 MONDO:0014141;Muscular dystrophy-dystroglycanopathy (limb-girdle), type C, 14 OMIM:615352;autosomal recessive limb-girdle muscular dystrophy type 2T MONDO:0014142"
16781,GMPPB,Hereditary ataxia and cerebellar anomalies - childhood onset,gene_panel_488,"Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 14 OMIM:615350;muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A14 MONDO:0014140"
16782,GNE,Hereditary ataxia and cerebellar anomalies - childhood onset,gene_panel_488,Nonaka myopathy 605820;ADUDP-GlcNAc epimerase/kinase deficiency (Disorders of multiple glycosylation and other glycosylation pathways)
16783,GOSR2,Hereditary ataxia and cerebellar anomalies - childhood onset,gene_panel_488,"Epilepsy, progressive myoclonic 6, 614018"
16784,GPAA1,Hereditary ataxia and cerebellar anomalies - childhood onset,gene_panel_488,"Glycosylphosphatidylinositol biosynthesis defect 15, 617810"
16785,GRID2,Hereditary ataxia and cerebellar anomalies - childhood onset,gene_panel_488,"Spinocerebellar ataxia, autosomal recessive 18, 616204"
16786,GRM1,Hereditary ataxia and cerebellar anomalies - childhood onset,gene_panel_488,"Spinocerebellar ataxia, autosomal recessive 13"
16787,HEXA,Hereditary ataxia and cerebellar anomalies - childhood onset,gene_panel_488,"GM2-gangliosidosis, several forms, 272800;Tay-Sachs disease, 272800"
16788,HEXB,Hereditary ataxia and cerebellar anomalies - childhood onset,gene_panel_488,"Sandhoff disease, infantile, juvenile, and adult forms, OMIM:268800"
16789,HYLS1,Hereditary ataxia and cerebellar anomalies - childhood onset,gene_panel_488,"Joubert syndrome;Hydrolethalus syndrome, 236680"
16790,ICK,Hereditary ataxia and cerebellar anomalies - childhood onset,gene_panel_488,"Endocrine-cerebroosteodysplasia, OMIM:612651;Endocrine-cerebro-osteodysplasia syndrome, MONDO:0012980"
16791,INPP5E,Hereditary ataxia and cerebellar anomalies - childhood onset,gene_panel_488,Joubert syndrome;Joubert syndrome 1
